,Ichthyomyzon unicuspis,Ichthyomyzon fossor,Ichthyomyzon castaneus,Petromyzon marinus,Lampetra appendix,Acipenser fulvescens,Scaphirhynchus platorynchus,Polyodon spathula,Lepisosteus platostomus,Lepisosteus osseus,Amia calva,Anguilla rostrata,Alosa chrysochloris,Dorosoma cepedianum,Hiodon alosoides,Hiodon tergisus,Osmerus mordax,Umbra limi,Esox americanus vermiculatus,Esox lucius,Esox masquinongy,Notemigonus crysoleucas,Semotilus atromaculatus,Semotilus margarita,Clinostomus elongatus,Phoxinus neogaeus,Phoxinus erythrogaster,Phoxinus eos,Rhinichthys atratulus,Rhinichthys cataractae,Campostoma anomalum,Campostoma oligolepis,Nocomis biguttatua,Hybopsis x-punctata,Hybopsis storeriana,Hybopsis aestivalis,Phenacobius mirabilis,Notropis amnis,Notropis atherinoides,Notropis rubellus,Notropis umbratilis,Notropis cornutus,Notropis chrysocephalus,Notropis blennius,Notropis chalybaeus,Notropis texanus,Notropis heterodon,Notropis hudsonius,Notropis dorsalis,Notropis spilopterus,Notropis lutrensis,Notropis anogenus,Notropis stramineus,Notropis volucellus,Notropis buchanani,Notropis heterolepis,Notropis emiliae,Notropis nubilus,Hybognathus hankinsoni,Hybognathus nuchalis,Pimephales vigilax,Pimephales notatus,Pimephales promelas,Cycleptus elongatus,Ictiobus cyprinellus,Ictiobus niger,Ictiobus bubalus,Carpiodes cyprinus,Carpiodes carpio,Carpiodes velifer,Minytrema melanops,Erimyzon sucetta,Erimyzon oblongus,Moxostoma duquesnei,Moxostoma erythrurum,Moxostoma anisurum,Moxostoma macrolepidotum,Moxostoma valenciennesi,Moxostoma carinatum,Hypentelium nigricans,Catostomus commersoni,Catostomus catostomus,Ictalurus melas,Ictalurus nebulosus,Ictalurus natalis,Ictalurus punctatus,Noturus gyrinus,Noturus exilis,Noturus flavus,Pylodictis olivaris,Aphredoderus sayanus,Percopsis omiscomaycus,Lota lota,Fundulus diaphanus,Fundulus notatus,Fundulus notti,Labidesthes sicculus,Culaea inconstans,Morone chrysops,Morone mississippiensis,Micropterus dolomieui,Micropterus salmoides,Lepomis gulosus,Lepomis cyanellus,Lepomis gibbosus,Lepomis megalotis,Lepomis humilis,Lepomis macrochirus,Ambloplites rupestris,Pomoxis annularis,Pomoxis nigromaculatus,Stizostedion vitreum vitreum,Stizostedion canadense,Perca flavescens,Percina phoxocephala,Percina maculata,Percina evides,Percina caprodes,Percina shumardi,Ammocrypta asprella,Ammocrypta clara,Etheostoma nigrum,Etheostoma chlorosomum,Etheostoma zonale,Etheostoma caeruleum,Etheostoma asprigene,Etheostoma exile,Etheostoma flabellare,Etheostoma microperca,Aplodinotus grunniens,Cottus bairdi,Cottus cognatus
Upper Green Bay,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0
Wolf,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0
Upper Fox,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1
Lower Fox,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Upper Rock,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0
Lower Rock,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0
Lake Shore,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Sheboygan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Milwaukee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0
SE WI Fox,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0
Root-Pike,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mississippi Lower St. Croix,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
